sample,doc_filter,proportion_depth,depth,het,depth_category
mwr_TGF04,GL2-3x_filter,0.10,0.94,0.00010243,medium
mwr_TGF04,GL2-3x_filter,0.20,1.88,0.00008676,medium
mwr_TGF04,GL2-3x_filter,0.30,2.81,0.00008874,medium
mwr_TGF04,GL2-3x_filter,0.50,4.69,0.00010355,medium
mwr_TGF04,GL2-3x_filter,0.75,7.04,0.00012381,medium
mwr_TGF04,GL2-3x_filter,1.00,9.38,0.00014144,medium
mwr_TGF04,GL2-no_filter,0.10,0.94,0.00003858,medium
mwr_TGF04,GL2-no_filter,0.20,1.88,0.00004974,medium
mwr_TGF04,GL2-no_filter,0.30,2.81,0.00006469,medium
mwr_TGF04,GL2-no_filter,0.50,4.69,0.00009191,medium
mwr_TGF04,GL2-no_filter,0.75,7.04,0.00011827,medium
mwr_TGF04,GL2-no_filter,1.00,9.38,0.00013896,medium
mwr_TGF04,GL2-5x_filter,0.10,0.94,0.00042562,medium
mwr_TGF04,GL2-5x_filter,0.20,1.88,0.00022948,medium
mwr_TGF04,GL2-5x_filter,0.30,2.81,0.00018183,medium
mwr_TGF04,GL2-5x_filter,0.50,4.69,0.00015300,medium
mwr_TGF04,GL2-5x_filter,0.75,7.04,0.00014823,medium
mwr_TGF04,GL2-5x_filter,1.00,9.38,0.00015402,medium
mwr_TGF15,GL2-3x_filter,0.10,1.86,0.00006062,high
mwr_TGF15,GL2-3x_filter,0.20,3.72,0.00009959,high
mwr_TGF15,GL2-3x_filter,0.30,5.57,0.00013115,high
mwr_TGF15,GL2-3x_filter,0.50,9.29,0.00017004,high
mwr_TGF15,GL2-3x_filter,0.75,13.94,0.00019187,high
mwr_TGF15,GL2-3x_filter,1.00,18.58,0.00020117,high
mwr_TGF15,GL2-no_filter,0.10,1.86,0.00003695,high
mwr_TGF15,GL2-no_filter,0.20,3.72,0.00008974,high
mwr_TGF15,GL2-no_filter,0.30,5.57,0.00012670,high
mwr_TGF15,GL2-no_filter,0.50,9.29,0.00016932,high
mwr_TGF15,GL2-no_filter,0.75,13.94,0.00019167,high
mwr_TGF15,GL2-no_filter,1.00,18.58,0.00020105,high
mwr_TGF15,GL2-5x_filter,0.10,1.86,0.00014224,high
mwr_TGF15,GL2-5x_filter,0.20,3.72,0.00013773,high
mwr_TGF15,GL2-5x_filter,0.30,5.57,0.00014973,high
mwr_TGF15,GL2-5x_filter,0.50,9.29,0.00017415,high
mwr_TGF15,GL2-5x_filter,0.75,13.94,0.00019268,high
mwr_TGF15,GL2-5x_filter,1.00,18.58,0.00020116,high
wr_P9109_104,GL2-3x_filter,0.10,2.05,0.00002522,high
wr_P9109_104,GL2-3x_filter,0.20,4.10,0.00004370,high
wr_P9109_104,GL2-3x_filter,0.30,6.15,0.00006015,high
wr_P9109_104,GL2-3x_filter,0.50,10.25,0.00007989,high
wr_P9109_104,GL2-3x_filter,0.75,15.37,0.00009048,high
wr_P9109_104,GL2-3x_filter,1.00,20.49,0.00009418,high
wr_P9109_104,GL2-no_filter,0.10,2.05,0.00001692,high
wr_P9109_104,GL2-no_filter,0.20,4.10,0.00004055,high
wr_P9109_104,GL2-no_filter,0.30,6.15,0.00005881,high
wr_P9109_104,GL2-no_filter,0.50,10.25,0.00007978,high
wr_P9109_104,GL2-no_filter,0.75,15.37,0.00009018,high
wr_P9109_104,GL2-no_filter,1.00,20.49,0.00009430,high
wr_P9109_104,GL2-5x_filter,0.10,2.05,0.00006126,high
wr_P9109_104,GL2-5x_filter,0.20,4.10,0.00006043,high
wr_P9109_104,GL2-5x_filter,0.30,6.15,0.00006741,high
wr_P9109_104,GL2-5x_filter,0.50,10.25,0.00008065,high
wr_P9109_104,GL2-5x_filter,0.75,15.37,0.00009020,high
wr_P9109_104,GL2-5x_filter,1.00,20.49,0.00009409,high
wr_P9109_107,GL2-3x_filter,0.10,2.24,0.00002645,high
wr_P9109_107,GL2-3x_filter,0.20,4.48,0.00004638,high
wr_P9109_107,GL2-3x_filter,0.30,6.72,0.00006306,high
wr_P9109_107,GL2-3x_filter,0.50,11.21,0.00008193,high
wr_P9109_107,GL2-3x_filter,0.75,16.81,0.00009054,high
wr_P9109_107,GL2-3x_filter,1.00,22.41,0.00009362,high
wr_P9109_107,GL2-no_filter,0.10,2.24,0.00001879,high
wr_P9109_107,GL2-no_filter,0.20,4.48,0.00004354,high
wr_P9109_107,GL2-no_filter,0.30,6.72,0.00006223,high
wr_P9109_107,GL2-no_filter,0.50,11.21,0.00008186,high
wr_P9109_107,GL2-no_filter,0.75,16.81,0.00009065,high
wr_P9109_107,GL2-no_filter,1.00,22.41,0.00009370,high
wr_P9109_107,GL2-5x_filter,0.10,2.24,0.00006098,high
wr_P9109_107,GL2-5x_filter,0.20,4.48,0.00006100,high
wr_P9109_107,GL2-5x_filter,0.30,6.72,0.00006844,high
wr_P9109_107,GL2-5x_filter,0.50,11.21,0.00008242,high
wr_P9109_107,GL2-5x_filter,0.75,16.81,0.00009043,high
wr_P9109_107,GL2-5x_filter,1.00,22.41,0.00009354,high
wr_P9109_109,GL2-3x_filter,0.10,2.08,0.00002879,high
wr_P9109_109,GL2-3x_filter,0.20,4.17,0.00004729,high
wr_P9109_109,GL2-3x_filter,0.30,6.25,0.00006302,high
wr_P9109_109,GL2-3x_filter,0.50,10.42,0.00008176,high
wr_P9109_109,GL2-3x_filter,0.75,15.63,0.00009163,high
wr_P9109_109,GL2-3x_filter,1.00,20.84,0.00009512,high
wr_P9109_109,GL2-no_filter,0.10,2.08,0.00002028,high
wr_P9109_109,GL2-no_filter,0.20,4.17,0.00004453,high
wr_P9109_109,GL2-no_filter,0.30,6.25,0.00006185,high
wr_P9109_109,GL2-no_filter,0.50,10.42,0.00008166,high
wr_P9109_109,GL2-no_filter,0.75,15.63,0.00009132,high
wr_P9109_109,GL2-no_filter,1.00,20.84,0.00009523,high
wr_P9109_109,GL2-5x_filter,0.10,2.08,0.00006440,high
wr_P9109_109,GL2-5x_filter,0.20,4.17,0.00006349,high
wr_P9109_109,GL2-5x_filter,0.30,6.25,0.00006948,high
wr_P9109_109,GL2-5x_filter,0.50,10.42,0.00008234,high
wr_P9109_109,GL2-5x_filter,0.75,15.63,0.00009143,high
wr_P9109_109,GL2-5x_filter,1.00,20.84,0.00009498,high
wr_SRR5852738,GL2-3x_filter,0.10,0.91,0.00012835,medium
wr_SRR5852738,GL2-3x_filter,0.20,1.82,0.00011837,medium
wr_SRR5852738,GL2-3x_filter,0.30,2.72,0.00012048,medium
wr_SRR5852738,GL2-3x_filter,0.50,4.54,0.00012637,medium
wr_SRR5852738,GL2-3x_filter,0.75,6.81,0.00013194,medium
wr_SRR5852738,GL2-3x_filter,1.00,9.08,0.00013646,medium
wr_SRR5852738,GL2-no_filter,0.10,0.91,0.00020458,medium
wr_SRR5852738,GL2-no_filter,0.20,1.82,0.00007550,medium
wr_SRR5852738,GL2-no_filter,0.30,2.72,0.00017396,medium
wr_SRR5852738,GL2-no_filter,0.50,4.54,0.00014579,medium
wr_SRR5852738,GL2-no_filter,0.75,6.81,0.00013984,medium
wr_SRR5852738,GL2-no_filter,1.00,9.08,0.00013982,medium
wr_SRR5852738,GL2-5x_filter,0.10,0.91,0.00018214,medium
wr_SRR5852738,GL2-5x_filter,0.20,1.82,0.00012024,medium
wr_SRR5852738,GL2-5x_filter,0.30,2.72,0.00011191,medium
wr_SRR5852738,GL2-5x_filter,0.50,4.54,0.00011324,medium
wr_SRR5852738,GL2-5x_filter,0.75,6.81,0.00012076,medium
wr_SRR5852738,GL2-5x_filter,1.00,9.08,0.00012799,medium
wr_SRR5852742,GL2-3x_filter,0.10,0.99,0.00018856,medium
wr_SRR5852742,GL2-3x_filter,0.20,1.97,0.00017961,medium
wr_SRR5852742,GL2-3x_filter,0.30,2.96,0.00017961,medium
wr_SRR5852742,GL2-3x_filter,0.50,4.93,0.00018694,medium
wr_SRR5852742,GL2-3x_filter,0.75,7.40,0.00019433,medium
wr_SRR5852742,GL2-3x_filter,1.00,9.86,0.00020031,medium
wr_SRR5852742,GL2-no_filter,0.10,0.99,0.00005611,medium
wr_SRR5852742,GL2-no_filter,0.20,1.97,0.00024443,medium
wr_SRR5852742,GL2-no_filter,0.30,2.96,0.00023136,medium
wr_SRR5852742,GL2-no_filter,0.50,4.93,0.00020390,medium
wr_SRR5852742,GL2-no_filter,0.75,7.40,0.00020088,medium
wr_SRR5852742,GL2-no_filter,1.00,9.86,0.00020360,medium
wr_SRR5852742,GL2-5x_filter,0.10,0.99,0.00026389,medium
wr_SRR5852742,GL2-5x_filter,0.20,1.97,0.00017066,medium
wr_SRR5852742,GL2-5x_filter,0.30,2.96,0.00016066,medium
wr_SRR5852742,GL2-5x_filter,0.50,4.93,0.00016732,medium
wr_SRR5852742,GL2-5x_filter,0.75,7.40,0.00018034,medium
wr_SRR5852742,GL2-5x_filter,1.00,9.86,0.00019102,medium
wr_SRR5852746,GL2-3x_filter,0.10,0.85,0.00016992,medium
wr_SRR5852746,GL2-3x_filter,0.20,1.70,0.00017388,medium
wr_SRR5852746,GL2-3x_filter,0.30,2.55,0.00017731,medium
wr_SRR5852746,GL2-3x_filter,0.50,4.25,0.00018771,medium
wr_SRR5852746,GL2-3x_filter,0.75,6.38,0.00019724,medium
wr_SRR5852746,GL2-3x_filter,1.00,8.50,0.00020484,medium
wr_SRR5852746,GL2-no_filter,0.10,0.85,0.00027922,medium
wr_SRR5852746,GL2-no_filter,0.20,1.70,0.00020447,medium
wr_SRR5852746,GL2-no_filter,0.30,2.55,0.00023191,medium
wr_SRR5852746,GL2-no_filter,0.50,4.25,0.00021001,medium
wr_SRR5852746,GL2-no_filter,0.75,6.38,0.00020676,medium
wr_SRR5852746,GL2-no_filter,1.00,8.50,0.00020971,medium
wr_SRR5852746,GL2-5x_filter,0.10,0.85,0.00029388,medium
wr_SRR5852746,GL2-5x_filter,0.20,1.70,0.00017639,medium
wr_SRR5852746,GL2-5x_filter,0.30,2.55,0.00016703,medium
wr_SRR5852746,GL2-5x_filter,0.50,4.25,0.00017071,medium
wr_SRR5852746,GL2-5x_filter,0.75,6.38,0.00018325,medium
wr_SRR5852746,GL2-5x_filter,1.00,8.50,0.00019390,medium
mwr_TG0449,GL1-no_filter,0.10,1.13,0.00000000,medium
mwr_TG0449,GL1-no_filter,0.20,2.26,0.00000525,medium
