sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5CtoT_damage,ErTv,relatedness,filters,gw_het_GL1,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_5x_ErTv,Froh63_min10kb,Avg_RoH_len_63min10kb,Max_RoH_len_63min10kb,Froh_100kbmin,avg_roh_len_100kbmin,max_roh_len_100kbmin
ZA1845.1,mwr_TGF01,Swedish_Museum_of_Natural_History,581360,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,South_Africa,1845,BGIseq-500,Single_end_100_bp,845500662,156059069,0.1846,0.1666,130064700,0.1538,3.74,0.021,0.00205462,,excluded from Gwhet and Froh comparisons,0.00004,0.0000729,0.00008261,0.00011984,0.00011959,0.012438,133421,532752,0.010018,191896,532752
un1856.1,mwr_TGF02,Swedish_Museum_of_Natural_History,581567,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,unknown,NA,1856,BGIseq-500,Single_end_100_bp,783358580,554112554,0.7074,0.4615,298400978,0.3809,7.64,0.0364,0.00685397,Related to ZA-un.1,excluded from Froh comparison,0.000092,0.00014879,0.00015214,0.0001687,0.00016754,0.002715,32457.7,131082,0.000125,117167,131082
ZA-un.1,mwr_TGF03,Swedish_Museum_of_Natural_History,587554,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,South_Africa,NA,BGIseq-500,Single_end_100_bp,799090671,681350455,0.8527,0.2616,503083455,0.6296,17.86,0.0153,0.00073425,Related to un1856.1,,0.000162,0.00017452,0.00017494,0.00017546,0.00017533,0.226457,198182,6360529,0.195783,367152,6360529
ZA1845.2,mwr_TGF04,Swedish_Museum_of_Natural_History,591359,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,Kwazulu,1845,BGIseq-500,Single_end_100_bp,797602423,467315629,0.5859,0.3863,286793318,0.3596,9.38,0.0626,0.00472232,Related to ZA1842.1,excluded from Froh comparison,0.000098,0.00013896,0.00014144,0.00015402,0.00015329,0.000263,18992.2,36986,NA,NA,NA
NA1856.1,mwr_TGF05,Swedish_Museum_of_Natural_History,607458,unpublished,simum,Pre-bottleneck,SWRpre,NA,M,Namibia,Damaraland,1856,BGIseq-500,Single_end_100_bp,836210237,605815434,0.7245,0.2506,454015501,0.5429,10.25,0.0242,0.00082527,,,0.000129,0.00015246,0.00015353,0.0001585,0.00015837,0.109938,120686,1128552,0.082433,225899,1128552
NA1845.1,mwr_TGF06,Swedish_Museum_of_Natural_History,607464,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,Namibia,Damaraland,1845,BGIseq-500,Single_end_100_bp,795489557,659106311,0.8286,0.2572,489591769,0.6155,15.02,0.0276,0.00118722,,,0.000155,0.00017123,0.00017134,0.00017221,0.00017201,0.222883,153088,2936476,0.179294,298374,2936476
NA1857.1,mwr_TGF07,Swedish_Museum_of_Natural_History,607485,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,Namibia,Damaraland,1857,BGIseq-500,Single_end_100_bp,806548920,683008201,0.8468,0.2598,505586100,0.6269,16.03,0.0205,0.00095133,,,0.000155,0.00016965,0.00016985,0.00017082,0.00017066,0.240761,191099,3255041,0.205133,360216,3255041
ZA1842.1,mwr_TGF09,Swedish_Museum_of_Natural_History,612595,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,Umfolozi,1842,BGIseq-500,Single_end_100_bp,808407179,506781160,0.6269,0.3549,326899842,0.4044,6.73,0.0321,0.00199816,Related to ZA1845.2,,0.000077,0.00011104,0.00011554,0.00012836,0.0001281,0.020409,77709.2,337766,0.009859,151703,337766
ZA1960.1,mwr_TGF10,National_Museums_Scotland,Z.2000.033,unpublished,simum,Post-bottleneck,SWRpost,NA,F,South Africa,Umfolozi_Reserve,1960,BGIseq-500,Single_end_100_bp,709162239,541560848,0.7637,0.2919,383506216,0.5408,11.33,0.0059,0.00231474,,,0.000102,0.00012037,0.00012241,0.00012918,0.00012888,0.255036,382080,3719940,0.244929,505803,3719940
ZA1965.1,mwr_TGF11,National_Museums_Scotland,Z.2009.010,unpublished,simum,Post-bottleneck,SWRpost,NA,F,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1965,BGIseq-500,Single_end_100_bp,644582780,520754400,0.8079,0.2416,394953678,0.6127,12.51,0.0041,0.0014266,,,0.000113,0.00012811,0.00012984,0.00013512,0.00013493,0.248805,427310,4440872,0.240401,557817,4440872
ZA1970.1,mwr_TGF12,National_Museums_Scotland,Z.2010.73,unpublished,simum,Post-bottleneck,SWRpost,NA,M,South Africa,KwaZulu_Natal,1970,BGIseq-500,Single_end_100_bp,682559275,307297140,0.4502,0.2846,219832366,0.3221,5.57,0.0039,0.00079277,,,0.00006,0.0000834,0.00008861,0.0001072,0.00010712,0.255068,609945,8796296,0.249889,748143,8796296
un1968.1,mwr_TGF13,National_Museums_Scotland,Z.2004.75,unpublished,simum,Post-bottleneck,SWRpost,NA,M,unknown,NA,1968,BGIseq-500,Single_end_100_bp,755695371,625680704,0.828,0.2026,498937110,0.6602,15.42,0.0025,0.00056265,,,0.000127,0.00014042,0.00014085,0.00014126,0.00014118,0.211329,381077,4132375,0.202185,530078,4132375
SS1914.1,mwr_TGF14,National_Museums_Scotland,Z.1930.47,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,South Sudan,Lado_Enclave,1914,BGIseq-500,Single_end_100_bp,717916347,600631894,0.8366,0.2369,458364946,0.6385,12.72,0.0171,0.00095811,,,0.000186,0.00020802,0.0002083,0.00020979,0.00020959,0.346365,186836,3986973,0.298037,360714,3986973
UG1905.2,mwr_TGF15,Powell_Cotton_Museum,123,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,797945772,680760555,0.8531,0.2217,529804444,0.664,18.58,0.009,0.00091927,,,0.000188,0.00020105,0.00020117,0.00020116,0.00020098,0.426698,244129,5217005,0.385319,449541,5217005
SS1905.5,mwr_TGF16,Powell_Cotton_Museum,32,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,South Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,810866100,664342818,0.8193,0.1916,537026668,0.6623,17.83,0.0117,0.00126321,,,0.000205,0.00021962,0.00022007,0.00022062,0.00022034,0.35168,196244,5656997,0.304966,371496,5656997
ZA1976.1,mwr_TGF17,Natural_History_Museum_Vienna,62132,unpublished,simum,Post-bottleneck,SWRpost,M,M,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1976,BGIseq-500,Single_end_100_bp,595924021,477386490,0.8011,0.2268,369133906,0.6194,11.88,0.0037,0.0013352,,,0.000119,0.00013397,0.00013423,0.0001356,0.00013542,0.222244,390628,4578642,0.213356,532589,4578642
cap2009.1,wr_P9109_102,San_Diego_Zoo_Institute_for_Conservation_Research,KB21325,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2009,Illumina,Paired_end_150_bp,396393903,323144374,0.8152,0.1535,273542061,0.6901,17.2,0.0035,0.00057392,,,0.000079,0.00008683,0.00008692,0.00008671,0.00008666,0.325636,621214,9070848,0.316401,917992,9070848
cap2010.1,wr_P9109_103,San_Diego_Zoo_Institute_for_Conservation_Research,KB21326,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2010,Illumina,Paired_end_150_bp,391652474,326737057,0.8343,0.1562,275697899,0.7039,17.41,0.0016,0.00053248,,,0.000082,0.00008989,0.00008982,0.00008965,0.0000896,0.293814,539140,7805243,0.283776,805895,7805243
cap2008.1,wr_P9109_104,San_Diego_Zoo_Institute_for_Conservation_Research,KB21328,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2008,Illumina,Paired_end_150_bp,464991217,393099780,0.8454,0.1681,327004492,0.7032,20.49,0.0015,0.0005841,,,0.000087,0.0000943,0.00009418,0.00009409,0.00009404,0.302334,572110,7809117,0.293661,823995,7809117
cap2011.1,wr_P9109_105,San_Diego_Zoo_Institute_for_Conservation_Research,KB21329,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,392551261,328274408,0.8363,0.1344,284140282,0.7238,17.85,0.0016,0.00114074,,,0.000091,0.00009997,0.00010012,0.00009998,0.00009987,0.244669,430851,9079471,0.233744,663810,9079471
cap2011.2,wr_P9109_106,San_Diego_Zoo_Institute_for_Conservation_Research,KB21408,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,462564978,395111643,0.8542,0.1337,342295054,0.74,21.62,0.0015,0.00113484,,,0.000085,0.00009174,0.00009162,0.00009149,0.00009139,0.320985,567368,13118144,0.310945,838647,13118144
cap2011.3,wr_P9109_107,San_Diego_Zoo_Institute_for_Conservation_Research,KB21409,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,493996657,419769074,0.8497,0.153,355531400,0.7197,22.41,0.0017,0.000358,,,0.000087,0.0000937,0.00009362,0.00009354,0.00009351,0.302831,567332,7474966,0.293562,842611,7474966
ZA2012.1,wr_P9109_108,San_Diego_Zoo_Institute_for_Conservation_Research,KB21391,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,2012,Illumina,Paired_end_150_bp,355398018,304068147,0.8556,0.155,256944179,0.723,16.17,0.0016,0.00035217,,,0.000087,0.00009553,0.00009564,0.00009534,0.00009531,0.279316,526959,7166836,0.269739,781400,7166836
ZA1968.1,wr_P9109_109,San_Diego_Zoo_Institute_for_Conservation_Research,KB21423,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1968,Illumina,Paired_end_150_bp,450347121,382462959,0.8493,0.1317,332098823,0.7374,20.84,0.0017,0.00068591,,,0.000088,0.00009523,0.00009512,0.00009498,0.00009491,0.30216,533592,7330745,0.292163,812505,7330745
ZA1969.1,wr_P9109_110,San_Diego_Zoo_Institute_for_Conservation_Research,KB21426,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1969,Illumina,Paired_end_150_bp,427489688,363328560,0.8499,0.1223,318906462,0.746,20.05,0.0015,0.00066218,,,0.000089,0.00009637,0.00009623,0.00009612,0.00009606,0.299721,536347,10400024,0.290308,771896,10400024
