sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,relatedness,filters,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,ErTv,gw_het_GL2_3x_ErTv,gw_het_GL2_5x_ErTv,F_ngsF,exon_het_GL2_5x,exon_het_GL2_5x_ErTv,Froh_JH767723,Froh_88filt,Froh,ave_RoH_len,max_RoH_len,min_RoH_len,GW_het_DS,GW_het_DS_corrected
ZA1963.2,wr_SRR5852740,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB7062.147,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,183262608,141303484,0.771,0.0048,140620450,0.7673,9.76,0.0007,0.000092,0.000116,0.000058,0.000075,0.3086,,,0.00014697,0.00014382,0.00013571,0.0170533,0.00014137,0.0001334,0.000917,0.00010135,0.00009962,0.3618,0.67287,0.275209,500339,5529992,4247,0.00015051,0.0001479404
SD1972.1,wr_SRR5852741,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5764.376,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,179636474,139848010,0.7785,0.0052,139114182,0.7744,9.68,0.0009,0.000139,0.000177,0.000077,0.0001,0.2154,,,0.00020905,0.00020508,0.00019452,0.01644712,0.00020171,0.00019132,0.000788,0.00013003,0.00012789,0.3817,0.29232,0.402398,291588,5942017,6109,0.00020577,0.0002023827
SD1973.1,wr_SRR5852742,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5766.372,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1973,Illumina,Paired_end_150_bp,187434291,142941851,0.7626,0.0031,142501494,0.7603,9.86,0.0009,0.000137,0.000172,0.000073,0.000094,0.237,,,0.0002036,0.00020031,0.00019102,0.01691394,0.00019692,0.00018779,0.001566,0.00012478,0.00012267,0.3364,0.60607,0.42787,298025,6773574,3425,0.00020361,0.0002001681
SS1954.1,wr_SRR5852743,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB3731.28,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,South Sudan,Equatoria,1954,Illumina,Paired_end_150_bp,183307507,140731365,0.7677,0.0032,140285662,0.7653,9.74,0.0007,0.000143,0.000181,0.000077,0.000099,0.2044,,,0.00021673,0.00021296,0.0002014,0.01703195,0.00020933,0.00019797,0.005835,0.00012975,0.00012754,0.3273,0.47454,0.390403,278275,5808820,6201,0.00022193,0.0002181491
SD1972.2,wr_SRR5852744,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5763.377,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,185450379,139998444,0.7549,0.0037,139483797,0.7521,9.74,0.0008,0.000124,0.000158,0.000069,0.00009,0.2725,,,0.00018714,0.00018416,0.00017589,0.0160361,0.00018121,0.00017307,0.029845,0.00011657,0.0001147,0.4229,0.44504,0.425608,298492,9249016,5870,0.00017995,0.0001770594
SD1974.1,wr_SRR5852745,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8175.374,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1974,Illumina,Paired_end_150_bp,166083178,98835593,0.5951,0.0026,98578815,0.5936,6.87,0.0008,0.000102,0.000176,0.000055,0.000096,0.2799,,,0.00020526,0.00019532,0.00017849,0.01720035,0.00019196,0.00017542,0.000315,0.00011761,0.00011558,0.4518,0.67504,0.438481,341211,12436124,7966,0.00021182,0.0002081756
SD1972.3,wr_SRR5852746,San_Diego_Zoo_Institute_for_Conservation_Research,"PRJNA394025,KB9939.373",Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,158755543,122341238,0.7706,0.0034,121931284,0.768,8.5,0.0009,0.000132,0.000185,0.000074,0.000106,0.2145,,,0.00020971,0.00020484,0.0001939,0.01642052,0.00020148,0.00019072,0.001282,0.00013067,0.00012853,0.429,0.4001,0.375295,262303,5487326,5772,0.00020744,0.0002040367
SD1963.1,wr_SRR5852747,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6571.74,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1963,Illumina,Paired_end_150_bp,171373726,129705211,0.7569,0.0047,129089156,0.7533,8.93,0.0009,0.000135,0.000182,0.000076,0.000104,0.2077,,,0.00021202,0.00020788,0.00019611,0.01713285,0.00020432,0.00019275,0.000862,0.00013059,0.00012836,0.4329,0.54774,0.377752,269887,4942407,4277,0.00021294,0.0002092878
UG1965.1,wr_SRR5852748,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8174.351,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Uganda,NA,1965,Illumina,Paired_end_150_bp,205073417,150631730,0.7345,0.006,149734543,0.7302,10.42,0.0009,0.000127,0.000155,0.000074,0.000091,0.2982,,,0.00018958,0.00018668,0.0001781,0.01703115,0.0001835,0.00017507,0.021171,0.00012473,0.0001226,0.4345,0.50482,0.446669,323284,4776863,4389,0.00018853,0.0001853172
SD1972.4,wr_SRR5852749,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB9947.348,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,179506453,137015991,0.7633,0.0035,136530013,0.7606,9.51,0.0005,0.000135,0.000174,0.000073,0.000096,0.2397,,,0.0002045,0.00020042,0.00019041,0.01653318,0.00019711,0.00018726,0.002396,0.00012627,0.00012419,0.4736,0.50354,0.396181,259113,4867176,5313,0.00019965,0.0001963472
ZA1961.1,wr_SRR5852750,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB13306.34,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,M,M,South Africa,NA,1961,Illumina,Paired_end_150_bp,173971516,134278827,0.7718,0.0057,133514813,0.7675,9.27,0.0008,0.000085,0.000112,0.000052,0.00007,0.3608,,,0.00013927,0.00013583,0.00012827,0.0169918,0.00013352,0.00012609,0.006085,0.00009513,0.00009351,0.1619,0.39993,0.260083,536737,7073731,8817,0.00013737,0.0001350378
