sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,relatedness,filters,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,ErTv,gw_het_GL2_3x_ErTv,gw_het_GL2_5x_ErTv,F_ngsF,exon_het_GL2_5x,exon_het_GL2_5x_ErTv,Froh_JH767723,Froh_88filt,Froh,ave_RoH_len,max_RoH_len,min_RoH_len,GW_het_DS,GW_het_DS_corrected
SD1905.2,mwr_TG0461,Powell_Cotton_Museum,34,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,784968111,667248843,0.85,0.6316,245806682,0.3131,7.42,0.0601,0.000119,0.000189,0.000058,0.000094,0.246,,excluded from Froh comparison,0.00015737,0.00015869,0.00016522,0.00188811,0.00015839,0.00016491,0.014035,0.00009205,0.00009188,0.0578,0.84284,0.043889,48923.7,286765,5544,0.00012215,0.0001219234
UG1905.1,mwr_TG0462,Powell_Cotton_Museum,124,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,731749543,592900574,0.8103,0.3335,395164915,0.54,13.83,0.0317,0.000172,0.000183,0.000093,0.000099,0.2378,,,0.00019243,0.00019234,0.00019273,0.00147236,0.00019206,0.00019245,0.024529,0.00011215,0.00011199,0.3638,0.3097,0.4292,229380,4330095,4883,0.00012415,0.0001239682
SD1905.3,mwr_TG0463,Powell_Cotton_Museum,20,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,Sudan,Fariala_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,772010465,620352748,0.8036,0.2412,470709226,0.6097,16.82,0.023,0.000192,0.000195,0.000098,0.000099,0.1817,,,0.00020895,0.00020908,0.00020982,0.00109412,0.00020885,0.00020959,0.004237,0.00011721,0.00011709,0.3737,0.40679,0.35398,200773,2867858,2049,0.0001273,0.0001271607
SD1905.4,mwr_TG0465,Powell_Cotton_Museum,18,unpublished,cottoni,Pre-bottleneck,NWRpre,F,F,Sudan,Fariala_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,764697017,648541455,0.8481,0.2342,496655103,0.6495,17.13,0.0171,0.000199,0.000201,0.000116,0.000117,0.1667,,,0.00021437,0.00021458,0.0002143,0.00106561,0.00021435,0.00021407,0.004111,0.00012849,0.00012835,0.3174,0.60966,0.384337,211701,5575246,2612,0.0001293,0.0001291602
ZA1845.1,mwr_TGF01,Swedish_Museum_of_Natural_History,581360,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,South_Africa,1845,BGIseq-500,Single_end_100_bp,845500662,156059069,0.1846,0.1666,130064700,0.1538,3.74,0.021,0.00004,0.00017,0.00003,0.000129,0.8081,,excluded from Gwhet and Froh comparisons,0.0000729,0.00008261,0.00011984,0.00205462,0.00008244,0.00011959,NA,0.00008301,0.00008283,0.0114,NA,0.012534,129772,429578,33516,NA,NA
un1856.1,mwr_TGF02,Swedish_Museum_of_Natural_History,581567,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,unknown,NA,1856,BGIseq-500,Single_end_100_bp,783358580,554112554,0.7074,0.4615,298400978,0.3809,7.64,0.0364,0.000092,0.000141,0.000047,0.000074,0.2331,Related to ZA-un.1,excluded from Froh comparison,0.00014879,0.00015214,0.0001687,0.00685397,0.0001511,0.00016754,NA,0.00009065,0.00009003,0.0042,0.54073,0.002717,35314.8,91451,11424,0.00011234,0.000111571
ZA-un.1,mwr_TGF03,Swedish_Museum_of_Natural_History,587554,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,South_Africa,NA,BGIseq-500,Single_end_100_bp,799090671,681350455,0.8527,0.2616,503083455,0.6296,17.86,0.0153,0.000162,0.000162,0.000085,0.000085,0.132,Related to un1856.1,,0.00017452,0.00017494,0.00017546,0.00073425,0.00017481,0.00017533,0.001674,0.0001005,0.00010042,0.2199,0.38364,0.214216,198869,2902787,3831,0.00009591,9.5842276100025E-05
ZA1845.2,mwr_TGF04,Swedish_Museum_of_Natural_History,591359,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,Kwazulu,1845,BGIseq-500,Single_end_100_bp,797602423,467315629,0.5859,0.3863,286793318,0.3596,9.38,0.0626,0.000098,0.000128,0.000055,0.000073,0.2457,Related to ZA1842.1,excluded from Froh comparison,0.00013896,0.00014144,0.00015402,0.00472232,0.00014077,0.00015329,0.041071,0.00008068,0.0000803,0.0004,0.73121,0.000436,15683.2,31877,5075,0.0000958,9.5348198910608E-05
NA1856.1,mwr_TGF05,Swedish_Museum_of_Natural_History,607458,unpublished,simum,Pre-bottleneck,SWRpre,NA,M,Namibia,Damaraland,1856,BGIseq-500,Single_end_100_bp,836210237,605815434,0.7245,0.2506,454015501,0.5429,10.25,0.0242,0.000129,0.000158,0.000082,0.000102,0.1219,,,0.00015246,0.00015353,0.0001585,0.00082527,0.0001534,0.00015837,0.000854,0.00009971,0.00009963,0.111,0.52409,0.103551,118013,932789,5335,0.00009809,9.8011547202525E-05
NA1845.1,mwr_TGF06,Swedish_Museum_of_Natural_History,607464,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,Namibia,Damaraland,1845,BGIseq-500,Single_end_100_bp,795489557,659106311,0.8286,0.2572,489591769,0.6155,15.02,0.0276,0.000155,0.000161,0.000082,0.000086,0.1244,,,0.00017123,0.00017134,0.00017221,0.00118722,0.00017114,0.00017201,0.001213,0.00009806,0.00009794,0.2449,0.42089,0.250318,171423,2516988,6001,0.00009607,9.5957841518882E-05
