new_ID,sample_name,AfRSG_subsp.,voucher,source,reference,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH,comments
ZA1845.2,mwr_TGF04,simum,591359,Swedish_Museum_of_Natural_History,unpublished,Pre-bottleneck,SWR1,NA,F,South Africa,Kwa-Zulu,1845,BGIseq-500,Single_end_100_bp,797602423,467315629,0.5859,0.3863,286793318,0.3596,9.38,0.0626,0.00009833,0.00012816,0.00005504,0.00007303,0.2457,related_ZA1842.1
NA1856.1,mwr_TGF05,simum,607458,Swedish_Museum_of_Natural_History,unpublished,Pre-bottleneck,SWR1,NA,M,Namibia,Damaraland,1856,BGIseq-500,Single_end_100_bp,836210237,605815434,0.7245,0.2506,454015501,0.5429,10.25,0.0242,0.00012858,0.00015777,0.00008151,0.00010160,0.1219,
NA1845.1,mwr_TGF06,simum,607464,Swedish_Museum_of_Natural_History,unpublished,Pre-bottleneck,SWR1,NA,F,Namibia,Damaraland,1845,BGIseq-500,Single_end_100_bp,795489557,659106311,0.8286,0.2572,489591769,0.6155,15.02,0.0276,0.00015521,0.00016066,0.00008238,0.00008556,0.1244,
NA1857.1,mwr_TGF07,simum,607485,Swedish_Museum_of_Natural_History,unpublished,Pre-bottleneck,SWR1,NA,F,Namibia,Damaraland,1857,BGIseq-500,Single_end_100_bp,806548920,683008201,0.8468,0.2598,505586100,0.6269,16.03,0.0205,0.00015538,0.00015844,0.00008571,0.00008749,0.1394,
ZA1842.1,mwr_TGF09,simum,612595,Swedish_Museum_of_Natural_History,unpublished,Pre-bottleneck,SWR1,NA,F,South Africa,Umfolozi,1842,BGIseq-500,Single_end_100_bp,808407179,506781160,0.6269,0.3549,326899842,0.4044,6.73,0.0321,0.00007742,0.00013575,0.00005830,0.00010437,0.3485,related_ZA1845.2
ZA1995.1,mwr_TGF10,simum,Z.2000.033,National_Museums_Scotland,unpublished,Post-bottleneck,SWR2,NA,F,South Africa,Umfolozi_Reserve,1995,BGIseq-500,Single_end_100_bp,709162239,541560848,0.7637,0.2919,383506216,0.5408,11.33,0.0059,0.00010203,0.00011806,0.00007125,0.00008353,0.3351,
ZA2009.1,mwr_TGF11,simum,Z.2009.010,National_Museums_Scotland,unpublished,Post-bottleneck,SWR2,NA,F,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,2009,BGIseq-500,Single_end_100_bp,644582780,520754400,0.8079,0.2416,394953678,0.6127,12.51,0.0041,0.00011283,0.00012442,0.00008190,0.00009120,0.3137,
ZA2010.1,mwr_TGF12,simum,Z.2010.73,National_Museums_Scotland,unpublished,Post-bottleneck,SWR2,NA,M,South Africa,KwaZulu_Natal,2010,BGIseq-500,Single_end_100_bp,682559275,307297140,0.4502,0.2846,219832366,0.3221,5.57,0.0039,0.00006007,0.00013165,0.00004551,0.00010164,0.4908,
un2004.1,mwr_TGF13,simum,Z.2004.75,National_Museums_Scotland,unpublished,Post-bottleneck,SWR2,NA,M,unknown,NA,2004,BGIseq-500,Single_end_100_bp,755695371,625680704,0.828,0.2026,498937110,0.6602,15.42,0.0025,0.00012713,0.00013074,0.00008559,0.00008824,0.2779,
SD1914.1,mwr_TGF14,cottoni,Z.1930.47,National_Museums_Scotland,unpublished,Pre-bottleneck,NWR1,NA,F,Sudan,Lado_Enclave,1914,BGIseq-500,Single_end_100_bp,717916347,600631894,0.8366,0.2369,458364946,0.6385,12.72,0.0171,0.00018594,0.00020359,0.00011429,0.00012630,0.1498,
UG1905.2,mwr_TGF15,cottoni,123,Powell_Cotton_Museum,unpublished,Pre-bottleneck,NWR1,NA,F,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,797945772,680760555,0.8531,0.2217,529804444,0.664,18.58,0.009,0.00018794,0.00018730,0.00011201,0.00011139,0.2348,
