sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,comments,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_3x_ErTv
un1856.1,mwr_TGF02,Swedish_Museum_of_Natural_History,581567,unpublished,simum,Pre-bottleneck,SWR1,NA,F,NA,NA,1856,BGIseq-500,Single_end_100_bp,783358580,554112554,0.7074,0.4615,298400978,0.3809,7.64,0.0364,0.000092,0.000141,0.000047,0.000074,0.2331,related_ZA-un.1,0.00014879,0.00015214,0.0001687,0.00015110
ZA-un.1,mwr_TGF03,Swedish_Museum_of_Natural_History,587554,unpublished,simum,Pre-bottleneck,SWR1,NA,F,South_Africa,South_Africa,NA,BGIseq-500,Single_end_100_bp,799090671,681350455,0.8527,0.2616,503083455,0.6296,17.86,0.0153,0.000162,0.000162,0.000085,0.000085,0.132,related_un1856.1,0.00017452,0.00017494,0.00017546,0.00017481
ZA1845.2,mwr_TGF04,Swedish_Museum_of_Natural_History,591359,unpublished,simum,Pre-bottleneck,SWR1,NA,F,South_Africa,Kwazulu,1845,BGIseq-500,Single_end_100_bp,797602423,467315629,0.5859,0.3863,286793318,0.3596,9.38,0.0626,0.000098,0.000128,0.000055,0.000073,0.2457,related_ZA1842.1,0.00013896,0.00014144,0.00015402,0.00014077
NA1856.1,mwr_TGF05,Swedish_Museum_of_Natural_History,607458,unpublished,simum,Pre-bottleneck,SWR1,NA,M,Namibia,Damaraland,1856,BGIseq-500,Single_end_100_bp,836210237,605815434,0.7245,0.2506,454015501,0.5429,10.25,0.0242,0.000129,0.000158,0.000082,0.000102,0.1219,,0.00015246,0.00015353,0.0001585,0.00015340
NA1845.1,mwr_TGF06,Swedish_Museum_of_Natural_History,607464,unpublished,simum,Pre-bottleneck,SWR1,NA,F,Namibia,Damaraland,1845,BGIseq-500,Single_end_100_bp,795489557,659106311,0.8286,0.2572,489591769,0.6155,15.02,0.0276,0.000155,0.000161,0.000082,0.000086,0.1244,,0.00017123,0.00017134,0.00017221,0.00017114
NA1857.1,mwr_TGF07,Swedish_Museum_of_Natural_History,607485,unpublished,simum,Pre-bottleneck,SWR1,NA,F,Namibia,Damaraland,1857,BGIseq-500,Single_end_100_bp,806548920,683008201,0.8468,0.2598,505586100,0.6269,16.03,0.0205,0.000155,0.000158,0.000086,0.000087,0.1394,,0.00016965,0.00016985,0.00017082,0.00016969
ZA1842.1,mwr_TGF09,Swedish_Museum_of_Natural_History,612595,unpublished,simum,Pre-bottleneck,SWR1,NA,F,South_Africa,Umfolozi,1842,BGIseq-500,Single_end_100_bp,808407179,506781160,0.6269,0.3549,326899842,0.4044,6.73,0.0321,0.000077,0.000136,0.000058,0.000104,0.3485,related_ZA1845.2,0.00011104,0.00011554,0.00012836,0.00011531
ZA1995.1,mwr_TGF10,National_Museums_Scotland,Z.2000.033,unpublished,simum,Post-bottleneck,SWR2,NA,F,South_Africa,Umfolozi_Reserve,1995,BGIseq-500,Single_end_100_bp,709162239,541560848,0.7637,0.2919,383506216,0.5408,11.33,0.0059,0.000102,0.000118,0.000071,0.000084,0.3351,,0.00012037,0.00012241,0.00012918,0.00012213
ZA2009.1,mwr_TGF11,National_Museums_Scotland,Z.2009.010,unpublished,simum,Post-bottleneck,SWR2,NA,F,South_Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,2009,BGIseq-500,Single_end_100_bp,644582780,520754400,0.8079,0.2416,394953678,0.6127,12.51,0.0041,0.000113,0.000124,0.000082,0.000091,0.3137,,0.00012811,0.00012984,0.00013512,0.00012965
ZA2010.1,mwr_TGF12,National_Museums_Scotland,Z.2010.73,unpublished,simum,Post-bottleneck,SWR2,NA,M,South_Africa,KwaZulu_Natal,2010,BGIseq-500,Single_end_100_bp,682559275,307297140,0.4502,0.2846,219832366,0.3221,5.57,0.0039,0.00006,0.000132,0.000046,0.000102,0.4908,,0.0000834,0.00008861,0.0001072,0.00008854
un2004.1,mwr_TGF13,National_Museums_Scotland,Z.2004.75,unpublished,simum,Post-bottleneck,SWR2,NA,M,NA,NA,2004,BGIseq-500,Single_end_100_bp,755695371,625680704,0.828,0.2026,498937110,0.6602,15.42,0.0025,0.000127,0.000131,0.000086,0.000088,0.2779,,0.00014042,0.00014085,0.00014126,0.00014077
SD1914.1,mwr_TGF14,National_Museums_Scotland,Z.1930.47,unpublished,cottoni,Pre-bottleneck,NWR1,NA,F,Sudan,Lado_Enclave,1914,BGIseq-500,Single_end_100_bp,717916347,600631894,0.8366,0.2369,458364946,0.6385,12.72,0.0171,0.000186,0.000204,0.000114,0.000126,0.1498,,0.00020802,0.0002083,0.00020979,0.00020810
