new_ID,Sample_name,Lab_ID,Voucher,Sex,Sex_inferred_from_depth_of_sex_chromosomes,Country,Locality,date,H/M,Pre/Post-bottleneck,Source,Reference,AfRSG_subsp.,seq_reads_se,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,relatedness,time_window,comments,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH
NA1845.1,mwr_TGF06,swr_6,607464,NA,F,Namibia,Damaraland,1845,H,Pre-bottleneck,Swedish_Museum_of_Natural_History,NA,simum,795789798,795489557,659106311,82.86%,25.72%,489591769,61.55%,15.02,NA,SWR1,,0.0275964392,0.000155,0.000161,0.000082,0.000086,0.1244
NA1857.1,mwr_TGF07,swr_7,607485,NA,F,Namibia,Damaraland,1857,H,Pre-bottleneck,Swedish_Museum_of_Natural_History,NA,simum,806826347,806548920,683008201,84.68%,25.98%,505586100,62.69%,16.03,NA,SWR1,,0.0205145785,0.000155,0.000158,0.000086,0.000087,0.1394
ZA1842.1,mwr_TGF09,swr_9,612595,NA,F,South_Africa,Umfolozi,1842,H,Pre-bottleneck,Swedish_Museum_of_Natural_History,NA,simum,822090084,808407179,506781160,62.69%,35.49%,326899842,40.44%,6.73,to_TGF04,SWR1,,0.0321427846,0.000077,0.000136,0.000058,0.000104,0.3485
ZA1995.1,mwr_TGF10,swr_10,Z.2000.033,NA,F,South_Africa,Umfolozi_Reserve,1995,H,Post-bottleneck,National_Museums_Scotland,NA,simum,819984075,709162239,541560848,76.37%,29.19%,383506216,54.08%,11.33,NA,SWR2,,0.0059270269,0.000102,0.000118,0.000071,0.000084,0.3351
ZA2009.1,mwr_TGF11,swr_11,Z.2009.010,NA,F,South_Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,2009,H,Post-bottleneck,National_Museums_Scotland,NA,simum,717807231,644582780,520754400,80.79%,24.16%,394953678,61.27%,12.51,NA,SWR2,,0.0041195532,0.000113,0.000124,0.000082,0.000091,0.3137
ZA2010.1,mwr_TGF12,swr_12,Z.2010.73,NA,M,South_Africa,KwaZulu_Natal,2010,H,Post-bottleneck,National_Museums_Scotland,NA,simum,721154882,682559275,307297140,45.02%,28.46%,219832366,32.21%,5.57,NA,SWR2,,0.0039174775,0.000060,0.000132,0.000046,0.000102,0.4908
un2004.1,mwr_TGF13,swr_13,Z.2004.75,NA,M,NA,NA,2004,H,Post-bottleneck,National_Museums_Scotland,NA,simum,767893691,755695371,625680704,82.80%,20.26%,498937110,66.02%,15.42,NA,SWR2,,0.0025480094,0.000127,0.000131,0.000086,0.000088,0.2779
SD1914.1,mwr_TGF14,swr_15,Z.1930.47,NA,F,Sudan,Lado_Enclave,1914,H,Pre-bottleneck,National_Museums_Scotland,NA,cottoni,771286748,717916347,600631894,83.66%,23.69%,458364946,63.85%,12.72,NA,NWR1,,0.0171191301,0.000186,0.000204,0.000114,0.000126,0.1498
UG1905.2,mwr_TGF15,241,123,NA,F,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,849789458,797945772,680760555,85.31%,22.17%,529804444,66.40%,18.58,NA,NWR1,,0.0089725266,0.000188,0.000187,0.000112,0.000111,0.2348
SD1905.5,mwr_TGF16,260,32,NA,F,Sudan,By_Kero_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,811125362,810866100,664342818,81.93%,19.16%,537026668,66.23%,17.83,identical_to_TG0464,NWR1,,0.0117006254,0.000205,0.000205,0.000117,0.000117,0.1410
ZA1976.1,mwr_TGF17,264,62132,M,M,South_Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1976,H,Post-bottleneck,NHM_Wien,NA,simum,597746498,595924021,477386490,80.11%,22.68%,369133906,61.94%,11.88,NA,SWR2,,0.0036815083,0.000119,0.000135,0.000072,0.000083,0.2763
cap2009.1,wr_P9109_102,wr_P9109_102,KB21325,F,F,captive,captive,2009,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,396393903,323144374,81.52%,15.35%,273542061,69.01%,17.20,NA,SWR2,,0.0035493937,0.000079,0.000080,0.000045,0.000045,0.3886
cap2010.1,wr_P9109_103,wr_P9109_103,KB21326,F,F,captive,captive,2010,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,391652474,326737057,83.43%,15.62%,275697899,70.39%,17.41,NA,SWR2,,0.0015925518,0.000082,0.000083,0.000050,0.000050,0.3547
cap2008.1,wr_P9109_104,wr_P9109_104,KB21328,F,F,captive,captive,2008,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,464991217,393099780,84.54%,16.81%,327004492,70.32%,20.49,NA,SWR2,,0.0014807137,0.000087,0.000086,0.000055,0.000054,0.3444
cap2011.1,wr_P9109_105,wr_P9109_105,KB21329,F,F,captive,captive,2011,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,392551261,328274408,83.63%,13.44%,284140282,72.38%,17.85,NA,SWR2,,0.0016171714,0.000091,0.000091,0.000054,0.000054,0.2960
cap2011.2,wr_P9109_106,wr_P9109_106,KB21408,F,F,captive,captive,2011,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,462564978,395111643,85.42%,13.37%,342295054,74.00%,21.62,NA,SWR2,,0.0015282475,0.000085,0.000083,0.000051,0.000050,0.3539
cap2011.3,wr_P9109_107,wr_P9109_107,KB21409,F,F,captive,captive,2011,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,493996657,419769074,84.97%,15.30%,355531400,71.97%,22.41,NA,SWR2,,0.0017075404,0.000087,0.000085,0.000054,0.000053,0.3435
ZA2012.1,wr_P9109_108,wr_P9109_108,KB21391,F,F,South_Africa,NA,2012,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,355398018,304068147,85.56%,15.50%,256944179,72.30%,16.17,NA,SWR2,mapped_against_black_rhino_too,0.0015723663,0.000087,0.000089,0.000054,0.000055,0.3299
ZA1968.1,wr_P9109_109,wr_P9109_109,KB21423,F,F,South_Africa,NA,1968,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,450347121,382462959,84.93%,13.17%,332098823,73.74%,20.84,NA,SWR2,,0.0016919632,0.000088,0.000087,0.000053,0.000052,0.3397
ZA1969.1,wr_P9109_110,wr_P9109_110,KB21426,F,F,South_Africa,NA,1969,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,simum,NA,427489688,363328560,84.99%,12.23%,318906462,74.60%,20.05,NA,SWR2,,0.001538347,0.000089,0.000088,0.000053,0.000053,0.3386
ZA1958.1,wr_SRR5852738,SRR5852738,PRJNA394025.KB6974.24,F,F,South_Africa,NA,1958,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,simum,NA,166146617,131234478,78.99%,0.37%,130747206,78.69%,9.08,NA,SWR2,,0.0005264543,0.000084,0.000112,0.000047,0.000064,0.3714
